Empresa,Dirección,Teléfono,Aprobado Gustavo?,Mensaje enviado?,Fecha primer contacto,Cliente ha respondido?,Número inválido para wpp?,
ICEMAKER WHITE BEAR ,"Cl. 15 #15-41, Bucaramanga, Santander, Colombia",607 6715295,0,0,27 dic 21,0,,
Hielo Festival,"Cl. 21 #27-58, Bucaramanga, Santander, Colombia",+57 7 6456461,0,0,,0,,
Hielo La Esmeralda,"13-60, Cl. 6 ##13-2, Bucaramanga, Santander, Colombia",+57 7 6712383,0,0,,0,,
Hielo Nevado Ltda,"Av. Quebrada Seca #12-64, Bucaramanga, Santander, Colombia",+57 318 5383228,1,0,,0,,"En tres meses, desean volver a ser contactados"
Hielo Indufrio,"Cl. 19 ###20-57, Bucaramanga, Santander, Colombia",6076327301,0,0,,0,,
DISTRIHIELOS DEL ORIENTE,"Cl. 23 #18-6, Bucaramanga, Santander, Colombia",6523453,0,0,,0,,
El Nevado,"Cl. 32 #31-34, Bucaramanga, Santander, Colombia",+57 7 6347005,0,0,,0,,
Frutihelados King,"Cra. 24 ##12 A - 22, Bucaramanga, Santander, Colombia",+57 7 6359800,0,0,,0,,
Inducolpor S.A.S - Fabrica Icopor,"Cra. 11 ## 1A-52, Bucaramanga, Santander, Colombia",+57 7 6719939,0,0,,0,,
Oxisan S.A.S,"Calle 49 N° 21–73, Barrio:, Bucaramanga, Santander, Colombia",+57 315 3232683,1,0,,0,,
Fabrica de Espejos Cristsol,"Cl. 34 #13-23, Bucaramanga, Santander, Colombia",+57 7 6424780,0,0,,0,,
Balones Milans,"Cl. 52 #16-108, Bucaramanga, Santander, Colombia",+57 7 6703131,0,0,,0,,
INDUSTRIAS AROCA,"Cl. 30 #No. 14 - 34, Bucaramanga, Santander, Colombia",+57 300 2457357,0,0,,0,,
FABRICA DE PRODUCTOS PARA ASEO POLOCHE,"Carrera 13 # 6 - 28 Barrio, Bucaramanga, San Rafael, Santander, Colombia",+57 7 6719685,0,0,,0,,
Fábrica De Veladoras Arcoiris,"Cra. 16 #104 B - 46, Bucaramanga, Santander, Colombia",+57 7 6371203,0,0,,0,,
Indunilo SAS,"Bucaramanga, Santander, Colombia",+57 7 6378805,0,0,,0,,
"Xian Alpargatas Fabricantes de calzado: tenis ultra livianos, alpargatas, moasines, sneakers, bolicheros... de Bucaramanga para el Mundo","calle 47 # 1a occidente 02, Cl. 47 #1w 02, Bucaramanga, Santander, Colombia",+57 318 6007988,1,0,,0,,
Hielo y Agua Antártico S.A.S,"Cra. 7 #7-37, Floridablanca, Santander, Colombia",+57 7 6826644,0,0,,0,,
LA ESTUFA INDUSTRIAL,"# 15, Av. Quebrada Seca ##38, Bucaramanga, Santander, Colombia",+57 316 4265042,1,0,,0,,
ICOPOHER SANTANDER SAS,"# 1a 52 Carrera 11, Bucaramanga, Santander, Colombia",+57 310 2096450,1,0,,0,,
AJ Marroquineria-Fabrica Manufacturera,"calle 65 c # 1c-10, Bucaramanga, Santander, Colombia",+57 317 5026938,0,0,,0,,
Maniquies con Estilo,"Centro Bucaramanga, carrera 17 # 33 - 30 local 1, Bucaramanga, Santander, Colombia",+57 7 6839458,0,0,,0,,
Factory 45,"Cl. 45 #19-66, Bucaramanga, Santander, Colombia",+57 7 6801994,0,0,,0,,
TALABARTERIA Y FABRICA DE BOLSOS EL PORVENIR,"PASOS ABAJO DE HOME CENTER, Cl. 45 #19-54, Bucaramanga, Santander, Colombia",+57 7 6306814,0,0,,0,,
Fabrica de Mangueras JyC,"Cl. 20 #14-67 B, Bucaramanga, Santander, Colombia",+57 317 7358837,0,0,,0,,
DISPARCOL LTDA.,"Cra. 17 #16-39, Bucaramanga, Santander, Colombia",+57 317 6475210,0,0,,0,,
A & B Tapucol Publicidad Tapetes Publicitarios en Bucaramanga,"Carrera 24#31-49 apto 401C, Bucaramanga, Santander, Colombia",+57 317 4887400,0,0,,0,,
ESTRUCTURAS METALICAS EN BUCARAMANGA,"Cra. 15 ## 8-27, Bucaramanga, Santander, Colombia",+57 310 3056121,0,0,,0,,
Friotecnicas sas Fabricante Cuartos Frios Mantenimiento Y Reparacion,"Cl. 48 #20 - 20, Bucaramanga, Santander, Colombia",+57 318 3788596,0,0,,0,,
Fabrica de Sellos Americanas,"Cra. 17 #57-63, Bucaramanga, Santander, Colombia",+57 7 6803806,0,0,,0,,
Soliplast,"Bucaramanga, Santander, Colombia",+57 7 6769191,0,0,,0,,
PROMAQUINAS RG,"Cra. 21 ##28-92, Bucaramanga, Santander, Colombia",+57 312 3883386,0,0,,0,,
Cuellos y Puños,"Cra. 21 ###33-32, Bucaramanga, Santander, Colombia",+57 317 8738280,0,0,,0,,
Fabrica Ricuras Marly,"Cl. 65 ## 21-19, Bucaramanga, Santander, Colombia",+57 301 7562756,0,0,,0,,
